Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Allergen information (product.metafields.shopify.allergen-information),Color (product.metafields.shopify.color-pattern),Dietary preferences (product.metafields.shopify.dietary-preferences),Food product form (product.metafields.shopify.food-product-form),Nut processing method (product.metafields.shopify.nut-processing-method),Nut/Seed type (product.metafields.shopify.nut-seed-type),Occasion (product.metafields.shopify.occasion),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
bhavnagri-s-special-chakri-250g-fresh-crispy-traditional-gujarati-snack-handmade-bhavnagari-namkeen,Bhavnagri’s Special Chakri 250g | Fresh & Crispy Traditional Gujarati Snack | Handmade Bhavnagari Namkeen,"<p data-start=""467"" data-end=""740"">Bring home the rich traditional flavor of Bhavnagar with Bhavnagri’s Special Chakri. Crafted using carefully selected premium ingredients and prepared fresh for maximum crunch, this authentic Gujarati namkeen delivers the perfect balance of taste and texture in every bite.</p>
<p data-start=""742"" data-end=""924"">Whether you enjoy it with hot tea, serve it to guests, pack it for travel, or include it in your daily snacks, Bhavnagri’s Special Chakri is the perfect companion for every occasion.</p>
<h3 data-section-id=""1orspav"" data-start=""926"" data-end=""948"">Why You’ll Love It</h3>
<ul data-start=""949"" data-end=""1204"">
<li data-section-id=""edtlsi"" data-start=""949"" data-end=""980"">Authentic Bhavnagari recipe</li>
<li data-section-id=""xaew54"" data-start=""981"" data-end=""1020"">Crispy, crunchy &amp; flavorful texture</li>
<li data-section-id=""w58prf"" data-start=""1021"" data-end=""1060"">Freshly prepared for superior taste</li>
<li data-section-id=""bc905j"" data-start=""1061"" data-end=""1102"">Made with premium quality ingredients</li>
<li data-section-id=""u0f8ot"" data-start=""1103"" data-end=""1153"">Hygienically packed in reusable 250g container</li>
<li data-section-id=""1odibm2"" data-start=""1154"" data-end=""1204"">Perfect for tea-time, office, travel &amp; gifting</li>
</ul>",Bhavnagris,"Food, Beverages & Tobacco > Food Items > Snack Foods","","",true,Title,Default Title,,,,,,,,,0.0,shopify,12,deny,manual,125.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0979/4112/7479/files/Create_a_premium_e-commerce_hero_202605062348.jpg?v=1778270587,1,"",false,,,,,vegetarian,preserved,,,,,kg,,,active
bhavnagri-s-special-chakri-250g-fresh-crispy-traditional-gujarati-snack-handmade-bhavnagari-namkeen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0979/4112/7479/files/Create_a_premium_e-commerce_4-panel_202605062350.jpg?v=1778270587,2,"",,,,,,,,,,,,,,,
bhavnagri-s-special-chakri-250g-fresh-crispy-traditional-gujarati-snack-handmade-bhavnagari-namkeen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0979/4112/7479/files/Create_a_premium_e-commerce_feature_202605062349_38d36b14-a788-411a-b593-762e7a5f807f.jpg?v=1778270944,3,"",,,,,,,,,,,,,,,
bhavnagri-s-special-chakri-250g-fresh-crispy-traditional-gujarati-snack-handmade-bhavnagari-namkeen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0979/4112/7479/files/Create_a_premium_lifestyle_e-commerce_202605062349_4bec7ee3-e71f-4b43-92f3-3001bb87bac3.jpg?v=1778270945,4,"",,,,,,,,,,,,,,,
bhavnagri-s-special-chakri-250g-fresh-crispy-traditional-gujarati-snack-handmade-bhavnagari-namkeen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0979/4112/7479/files/Create_a_premium_close-up_trust-building_202605062350.jpg?v=1778270587,5,"",,,,,,,,,,,,,,,
premium-men-perfume-50ml-long-lasting-luxury-fragrance,Premium Men Perfume 50ml – Long Lasting Luxury Fragrance,"<p data-start=""195"" data-end=""852"">Experience true luxury with this premium men’s perfume crafted for confidence and success. Designed with a high concentration Extrait de Parfum formula, this fragrance delivers an intense, long-lasting scent that stays with you all day. The rich and powerful aroma is perfect for modern men who want to make a strong impression in office meetings, social gatherings, or special occasions. Its elegant glass bottle and premium packaging make it an excellent gifting choice for birthdays, anniversaries, and festive occasions. Whether you’re heading to work or a night event, this perfume enhances your personality and leaves a lasting impact wherever you go.</p>
<hr data-start=""854"" data-end=""857"">
<h1 data-section-id=""1m8pjs6"" data-start=""859"" data-end=""889"">🔥 KEY FEATURES (POINT-WISE)</h1>
<h3 data-section-id=""1tmyc7l"" data-start=""891"" data-end=""922"">✨ Premium Quality Fragrance</h3>
<ul data-start=""923"" data-end=""1021"">
<li data-section-id=""cno7ox"" data-start=""923"" data-end=""982"">Made with <strong data-start=""935"" data-end=""982"">high concentration (Extrait de Parfum ~80%)</strong>
</li>
<li data-section-id=""1ocpo02"" data-start=""983"" data-end=""1021"">Strong, rich, and long-lasting scent</li>
</ul>
<h3 data-section-id=""kkw0st"" data-start=""1023"" data-end=""1053"">⏳ Long Lasting Performance</h3>
<ul data-start=""1054"" data-end=""1131"">
<li data-section-id=""x4ufrz"" data-start=""1054"" data-end=""1101"">Stays for <strong data-start=""1066"" data-end=""1080"">8–12 hours</strong> (depending on usage)</li>
<li data-section-id=""bh5zcl"" data-start=""1102"" data-end=""1131"">Ideal for <strong data-start=""1114"" data-end=""1131"">full-day wear</strong>
</li>
</ul>
<h3 data-section-id=""f3zg4v"" data-start=""1133"" data-end=""1166"">👔 Perfect for Every Occasion</h3>
<ul data-start=""1167"" data-end=""1222"">
<li data-section-id=""1ui9z9j"" data-start=""1167"" data-end=""1204"">Office, meetings, parties, weddings</li>
<li data-section-id=""71qqa5"" data-start=""1205"" data-end=""1222"">Day &amp; night use</li>
</ul>
<h3 data-section-id=""xrziw4"" data-start=""1224"" data-end=""1254"">🎯 Designed for Modern Men</h3>
<ul data-start=""1255"" data-end=""1332"">
<li data-section-id=""u2k6bx"" data-start=""1255"" data-end=""1290"">Boosts confidence and personality</li>
<li data-section-id=""17n9j08"" data-start=""1291"" data-end=""1332"">Ideal for professionals &amp; entrepreneurs</li>
</ul>
<h3 data-section-id=""1lzseal"" data-start=""1334"" data-end=""1376"">🎁 Luxury Packaging (Best for Gifting)</h3>
<ul data-start=""1377"" data-end=""1460"">
<li data-section-id=""5wmbbt"" data-start=""1377"" data-end=""1407"">Elegant bottle + premium box</li>
<li data-section-id=""ejikfu"" data-start=""1408"" data-end=""1460"">Perfect gift for <strong data-start=""1427"" data-end=""1460"">men, husband, boyfriend, boss</strong>
</li>
</ul>
<h3 data-section-id=""1qwf9tp"" data-start=""1462"" data-end=""1493"">🌿 High-Quality Ingredients</h3>
<ul data-start=""1494"" data-end=""1586"">
<li data-section-id=""1ymx21m"" data-start=""1494"" data-end=""1547"">Contains perfume oils, essential oils, and DI water</li>
<li data-section-id=""1o71deu"" data-start=""1548"" data-end=""1586"">Smooth and skin-friendly formulation</li>
</ul>
<h3 data-section-id=""1y5z2kw"" data-start=""1588"" data-end=""1628"">🔥 Strong &amp; Attractive Scent Profile</h3>
<ul data-start=""1629"" data-end=""1707"">
<li data-section-id=""xo9lzn"" data-start=""1629"" data-end=""1677"">Leaves a <strong data-start=""1640"" data-end=""1677"">powerful and memorable impression</strong>
</li>
<li data-section-id=""1sf79a4"" data-start=""1678"" data-end=""1707"">Suitable for Indian climate</li>
</ul>
<h3 data-section-id=""n2ixp9"" data-start=""1709"" data-end=""1736"">👜 Travel Friendly Size</h3>
<ul data-start=""1737"" data-end=""1787"">
<li data-section-id=""1hazsq7"" data-start=""1737"" data-end=""1762"">Compact <strong data-start=""1747"" data-end=""1762"">50ml bottle</strong>
</li>
<li data-section-id=""a64cn1"" data-start=""1763"" data-end=""1787"">Easy to carry anywhere</li>
</ul>",Bhavnagris,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,"",organic,true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,599.00,699.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0979/4112/7479/files/best_background_image_202604040140_1.jpg?v=1775663910,1,"",false,,,,gold,,,,,everyday; formal; special-occasion,,kg,,,active
premium-men-perfume-50ml-long-lasting-luxury-fragrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0979/4112/7479/files/best_background_image_202604040140.jpg?v=1775663910,2,"",,,,,,,,,,,,,,,
premium-men-perfume-50ml-long-lasting-luxury-fragrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0979/4112/7479/files/best_background_image_202604040142.jpg?v=1775663910,3,"",,,,,,,,,,,,,,,
premium-men-perfume-50ml-long-lasting-luxury-fragrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0979/4112/7479/files/best_use_indian_202604040142.jpg?v=1775663910,4,"",,,,,,,,,,,,,,,
premium-men-perfume-50ml-long-lasting-luxury-fragrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0979/4112/7479/files/Generate_a_high-quality_202604040140_2.jpg?v=1775663910,5,"",,,,,,,,,,,,,,,
